编号	形态编号	中文名	形态名	日文名	英文名	属性1	属性2	特长	时间	天气	栖息地	喜欢的环境	喜欢的东西	分类	图鉴说明	身高	体重
200	0	炭小侍		カルボウ	Charcadet	火	火	点火	1111	111	115	温暖	能感受火的|石制的|奇妙的|训练用的|豪华的|甜甜的	小火星	一旦进入战斗状态，火力就会上升至摄氏１０００度。喜欢吃油脂含量高的树果。	0.6	10.5
201	0	红莲铠骑		グレンアルマ	Armarouge	火	超能力	点火|交易	1111	111	192	温暖	能感受火的|石制的|奇妙的|训练用的|豪华的|辣辣的	火战士	借助立下诸多功勋的战士所穿的铠甲进化而来的样子。是忠心耿耿的宝可梦。	1.5	85.0
202	0	苍炎刃鬼		ソウブレイズ	Ceruledge	火	幽灵	点火|交易	1111	111	191	温暖	能感受火的|石制的|诡异的|奇妙的|豪华的|苦苦的	火剑士	双臂的火焰之剑是靠着得志前就亡命的剑士的怨念而燃烧。	1.6	62.0
203	0	晶光芽		キラーメ	Glimmet	岩石	毒	乱撒	1111	111	118|119	昏暗	石制的|坚硬的|垃圾|闪亮亮的|看起来很难懂的|苦苦的	矿石	从洞窟的壁上吸取营养。包覆在身上的花瓣是用毒所凝聚的结晶做成的。	0.7	8.0
204	0	晶光花		キラフロル	Glimmora	岩石	毒	乱撒	1111	111	119|118	昏暗	石制的|坚硬的|垃圾|闪亮亮的|看起来很难懂的|苦苦的	矿石	只要感应到危险，就会张开结晶的花瓣，从圆锥形的身体发射光束。	1.5	45.0
205	0	索财灵		コレクレー	Gimmighoul	幽灵	幽灵	收藏家	1111	111	129	昏暗	诡异的|金属的|奇妙的|闪亮亮的|看起来很难懂的|苦苦的	宝箱	栖息在老旧的宝箱中。有时会因没人注意到自己是宝可梦，而被搁置在道具店的角落。	0.3	5.0
206	0	赛富豪		サーフゴー	Gholdengo	钢	幽灵	收藏家	1111	111	134	明亮	诡异的|金属的|奇妙的|闪亮亮的|看起来很难懂的|涩涩的	宝者	据说它的身体是由１０００枚硬币组成的。喜欢与人亲近，不管与谁都能立刻处好关系。	1.2	30.0
207	0	六尾		ロコン	Vulpix	火	火	点火	1111	111	142	温暖	能感受火的|柔软的|可爱的|圆圆的|百花盛开|苦苦的	狐狸	因为会从口中喷出好像人的灵魂一样的火焰，所以也有人把它错看成妖怪。	0.6	9.9
208	0	九尾		キュウコン	Ninetales	火	火	点火	1111	111	180|142	温暖	能感受火的|柔软的|用于观赏的|豪华的|百花盛开|涩涩的	狐狸	拥有金光灿灿的体毛以及９条长长的尾巴。据说它可以活上１０００年。	1.1	19.9
209	0	蚊香蝌蚪		ニョロモ	Poliwag	水	水	滋润	1111	111	161	潮湿	能感受水的|整洁的|圆圆的|交通工具|旋转的|甜甜的	蝌蚪	比起走路更擅长游泳。腹部旋涡状的花纹其实是透过皮肤看到的部分内脏。	0.6	12.4
210	0	蚊香君		ニョロゾ	Poliwhirl	水	水	滋润	1111	111	144	潮湿	能感受水的|整洁的|能感受大自然的|训练用的|旋转的|苦苦的	蝌蚪	２条腿很发达，虽然可以在地上生活，但不知为何更喜欢生活在水里。	1.0	20.0
211	0	蚊香泳士		ニョロボン	Poliwrath	水	格斗	滋润|建造	1111	111	178|156	潮湿	能感受水的|整洁的|建设|训练用的|大家一起用的|辣辣的	蝌蚪	通过游泳锻炼出来的肌肉结实又健硕。正面直拳连巨大的岩石都能击碎。	1.3	54.0
212	0	蚊香蛙皇		ニョロトノ	Politoed	水	水	滋润|带动气氛	1111	111	114|107|106	潮湿	能感受水的|游乐区|会出声的|群聚的|大家一起用的|酸酸的	蛙	在有月亮的夜晚聚集起来大合唱。那鸣叫声如怒吼般，并不美妙，但却别有韵味。	1.1	33.9
213	0	凯西		ケーシィ	Abra	超能力	超能力	瞬间移动	1111	111	152|151	昏暗	奇妙的|摇摇晃晃的|金属的|柔软的|用于观赏的|涩涩的	念力	即使是在睡梦中也会使用各种超能力，所以分辨不出它是不是醒着。	0.9	19.5
214	0	勇基拉		ユンゲラー	Kadabra	超能力	超能力	瞬间移动	1111	111	152	昏暗	奇妙的|摇摇晃晃的|金属的|容器|用于观赏的|涩涩的	念力	虽然有着强大的精神力，但如果没有拿着银汤匙，精神力量就会减半。	1.3	56.5
215	0	胡地		フーディン	Alakazam	超能力	超能力	瞬间移动|交易	1111	111	168|151	昏暗	奇妙的|摇摇晃晃的|金属的|有文字的|用于观赏的|苦苦的	念力	什么事情都能记住。只要是曾经体验过的事情就绝对不会忘记，头脑非常聪明。	1.5	48.0
216	0	魔尼尼		マネネ	Mime Jr.	超能力	妖精	分类	1111	111	157|171	明亮	奇妙的|可爱的|交通工具|游乐区|多彩的|甜甜的	默剧	擅长模仿。如果对方因此大吃一惊，它就会很开心，甚至不知不觉忘记了自己正在模仿这件事。	0.6	13.0
217	0	魔墙人偶		バリヤード	Mr. Mime	超能力	妖精	分类|建造	1111	111	157	明亮	奇妙的|可爱的|交通工具|摇摇晃晃的|用于观赏的|苦苦的	屏障	擅长表演哑剧，一直都在练习。即使空无一物，也能让人觉得那里真的有东西存在。	1.3	54.5
218	0	多边兽		ポリゴン	Porygon	一般	一般	回收利用	1111	111	170	明亮	柔软的|奇妙的|棱角分明的|建设|多彩的|苦苦的	虚拟	因为不需要呼吸而被期待在任何地方都能大显身手的人工宝可梦。	0.8	36.5
219	0	多边兽２型		ポリゴン２	Porygon2	一般	一般	回收利用	1111	111	166	明亮	柔软的|奇妙的|圆圆的|建设|多彩的|酸酸的	虚拟	利用最新科技进化而成的人工宝可梦。有时会作出不存在于程序里的反应。	0.6	32.5
220	0	多边兽乙型		ポリゴンＺ	Porygon-Z	一般	一般	稀有物	1111	111	164	明亮	柔软的|奇妙的|布制的|用于观赏的|多彩的|涩涩的	虚拟	以更优秀的宝可梦为目标，好像新追加的程序状况不佳，动作很奇怪。	0.9	34.0
221	0	迷你龙		ミニリュウ	Dratini	龙	龙	滋润	1111	111	144|148	潮湿	能感受水的|能感受火的|整洁的|可爱的|细长的|甜甜的	龙	因为目击者非常少，所以过去它被称为幻之宝可梦。现在还找到过它蜕下的皮。	1.8	3.3
222	0	哈克龙		ハクリュー	Dragonair	龙	龙	滋润	1111	111	148|144	潮湿	能感受水的|能感受火的|整洁的|有玻璃的|细长的|甜甜的	龙	据说它全身散发出气场时，周围的天气会在转眼间发生突变。	4.0	16.5
223	0	快龙		カイリュー	Dragonite	龙	飞行	滋润|飞翔	1111	111	145	潮湿	能感受火的|能感受风的|整洁的|象征的|百花盛开|涩涩的	龙	体型很大，能在空中飞行。大约只需１６小时就能绕地球１周。	2.2	210.0
224	0	火球鼠		ヒノアラシ	Cyndaquil	火	火	点火	1111	111	141	温暖	能感受火的|布制的|细长的|金属的|交通工具|甜甜的	火鼠	平时会将背部蜷起。但当它发怒或受惊时，会从背部喷出火焰。	0.5	7.9
225	0	火岩鼠		マグマラシ	Quilava	火	火	点火	1111	111	150|141	温暖	能感受火的|布制的|细长的|金属的|交通工具|甜甜的	火山	战斗前会背过身去向对手展示自己的火焰有多么厉害。	0.9	19.0
226	0	火暴兽		バクフーン	Typhlosion	火	火	点火|交易	1111	111	183|150	温暖	能感受火的|布制的|细长的|金属的|交通工具|涩涩的	火山	该宝可梦藏有大绝招。会摩擦熊熊燃烧着的体毛，掀起爆炸气浪进行攻击。	1.7	79.5
227	0	梦妖		ムウマ	Misdreavus	幽灵	幽灵	交易	0001	111	142|167	昏暗	诡异的|奇妙的|闪亮亮的|多彩的|用于观赏的|涩涩的	夜啼	喜欢恶作剧，经常在夜晚发出类似人哭喊一样的叫声来吓唬大家。	0.7	1.0
228	0	梦妖魔		ムウマージ	Mismagius	幽灵	幽灵	分类|交易	0001	111	158|167|142	昏暗	诡异的|奇妙的|会出声的|摇摇晃晃的|大家一起用的|苦苦的	魔法	用咒语般的怪异叫声折磨对手。是神出鬼没的宝可梦。	0.9	4.4
229	0	麒麟奇		キリンリキ	Girafarig	一般	超能力	分类	1111	111	143	温暖	柔软的|奇妙的|交通工具|用于观赏的|细长的|酸酸的	长颈	尾巴上有小小的头。如果有敌人从背后靠近，就会受本能驱使地咬过去。	1.5	41.5
230	0	奇麒麟		リキキリン	Farigiraf	一般	超能力	分类|找东西	1111	111	143	温暖	柔软的|奇妙的|交通工具|用于观赏的|细长的|酸酸的	长颈	通过同步头部和尾巴的脑波，来让自己的超能力提升到了麒麟奇的１０倍之高。	3.2	160.0
231	0	拉鲁拉丝		ラルトス	Ralts	超能力	妖精	瞬间移动	1111	111	159	明亮	奇妙的|可爱的|能治愈伤口的|用于观赏的|象征的|甜甜的	心情	用红色的角捕捉到人和宝可梦的温情后，全身也会稍稍变暖起来。	0.4	6.6
232	0	奇鲁莉安		キルリア	Kirlia	超能力	妖精	瞬间移动	1111	111	162|159	明亮	奇妙的|可爱的|能治愈伤口的|用于观赏的|象征的|甜甜的	感情	可以通过操纵精神力量扭曲周围的空间来看清未来。	0.8	20.2
233	0	沙奈朵		サーナイト	Gardevoir	超能力	妖精	瞬间移动|交易	1111	111	163|162	明亮	奇妙的|豪华的|能治愈伤口的|用于观赏的|象征的|酸酸的	包容	如果是为了保护训练家，它就会用尽自己的精神力量制造出小型黑洞。	1.6	48.4
234	0	艾路雷朵		エルレイド	Gallade	超能力	格斗	瞬间移动|建造	1111	111	178	明亮	奇妙的|训练用的|能治愈伤口的|建设|布制的|辣辣的	利刃	因为有着能敏锐感知对手想法的能力，所以可以率先攻击。	1.6	52.0
235	0	正电拍拍		プラスル	Plusle	电	电	发电	1111	111	174	明亮	电力驱动的|有玻璃的|柔软的|可爱的|大家一起用的|甜甜的	加油	能从电线杆上吸取电力。会通过让体内储存的电流短路来发出声音。	0.4	4.2
236	0	负电拍拍		マイナン	Minun	电	电	发电	1111	111	174	明亮	电力驱动的|有玻璃的|柔软的|可爱的|大家一起用的|辣辣的	加油	负电拍拍和正电拍拍放出的电流有促进血液流动，缓解酸痛的功效。	0.4	4.2
237	0	大颚蚁		ナックラー	Trapinch	地面	地面	重踏|乱撒	1111	111	137	干燥	能感受土的|坚硬的|奇妙的|用于观赏的|训练用的|辣辣的	蚁狮	栖息在干燥的沙漠里。会待在捣蒜钵状的巢穴中，一动不动地持续等着猎物出现。	0.7	15.0
238	0	超音波幼虫		ビブラーバ	Vibrava	地面	龙	重踏|飞翔	1111	111	137	干燥	能感受土的|能感受火的|能感受大自然的|豪华的|会出声的|苦苦的	震动	还不发达的翅膀，比起飞行，反而更多地用于通过摩擦产生超音波攻击敌人。	1.1	15.3
239	0	沙漠蜻蜓		フライゴン	Flygon	地面	龙	重踏|飞翔	1111	111	137	干燥	能感受土的|能感受火的|能感受大自然的|石制的|木制的|酸酸的	神秘	被称为沙漠精灵。隐藏在挥动翅膀掀起的沙暴中。	2.0	82.0
240	0	青绵鸟		チルット	Swablu	一般	飞行	乱撒	1111	111	137	明亮	柔软的|能感受风的|可爱的|用于观赏的|整洁的|甜甜的	绵鸟	如果自己和周围不干净，就无法静下心来的性格。见到脏东西就会用羽毛擦掉。	0.4	1.2
241	0	七夕青鸟		チルタリス	Altaria	龙	飞行	乱撒|飞翔	1111	111	147	明亮	柔软的|能感受风的|可爱的|用于观赏的|会出声的|酸酸的	哼唱	在晴朗日子里会混在棉花云里自由地在空中飞来飞去，会用优美的高音歌唱。	1.1	20.6
242	0	夜巡灵		ヨマワル	Duskull	幽灵	幽灵	分类	0001	111	137	昏暗	诡异的|奇妙的|交通工具|有玻璃的|布制的|苦苦的	渡魂	最爱小孩的生物能量。会为了寻找孩子而在深夜的街上四处徘徊。	0.8	15.0
243	0	彷徨夜灵		サマヨール	Dusclops	幽灵	幽灵	分类	0001	111	153	昏暗	诡异的|奇妙的|交通工具|柔软的|容器|酸酸的	招手	据说盯着它神秘手部动作看的话，灵魂会被它从身体里抽走，因此被大家所深深恐惧。	1.6	30.6
244	0	黑夜魔灵		ヨノワール	Dusknoir	幽灵	幽灵	分类|交易	0001	111	153	昏暗	诡异的|奇妙的|交通工具|大家一起用的|容器|苦苦的	抓握	往来于这个世界与另一个世界。因据说会吸收并带走徘徊的灵魂而遭人畏惧。	2.2	106.6
245	0	铁哑铃		ダンバル	Beldum	钢	超能力	回收利用	1111	111	149	凉爽	金属的|奇妙的|坚硬的|看起来很难懂的|石制的|酸酸的	铁球	让身上放出的磁力和地上的磁力相互排斥，从而飘浮在空中。	0.6	95.2
246	0	金属怪		メタング	Metang	钢	超能力	回收利用	1111	111	169	凉爽	金属的|奇妙的|坚硬的|看起来很难懂的|石制的|苦苦的	铁爪	由２只铁哑铃组合而成。因为２个大脑结合了，所以精神力量也变得更强了。	1.2	202.5
247	0	巨金怪		メタグロス	Metagross	钢	超能力	回收利用|碾压	1111	111	182	凉爽	金属的|奇妙的|坚硬的|训练用的|豪华的|涩涩的	铁足	用４只爪子和庞大的身体牢牢地按住猎物后，用腹部的牙齿嘎嘣嘎嘣地啃咬。	1.6	550.0
248	0	藤藤蛇		ツタージャ	Snivy	草	草	栽培|乱撒	1111	111	165	潮湿	能感受大自然的|木制的|能感受水的|摇摇晃晃的|闪亮亮的|酸酸的	草蛇	当尾巴的叶子受到日照制造出能量后，动作就会变得敏捷，招式也会更加强劲。	0.6	8.1
249	0	青藤蛇		ジャノビー	Servine	草	草	栽培|乱撒	1111	111	143	潮湿	能感受大自然的|木制的|能感受水的|整洁的|闪亮亮的|苦苦的	草蛇	如果身体变脏，就没法用叶子进行光合作用，所以它总是保持自身的清洁。	0.8	16.0
250	0	君主蛇		ジャローダ	Serperior	草	草	栽培|乱撒	1111	111	171|143	潮湿	能感受大自然的|木制的|能感受水的|容器|细长的|涩涩的	皇家	它拥有能让对手畏惧的眼神和威风凛凛的样子，因此被称为森林的君主。	3.3	63.0
251	0	呱呱泡蛙		ケロマツ	Froakie	水	水	滋润	1111	111	139	潮湿	能感受水的|能感受海的|整洁的|用于观赏的|容器|辣辣的	泡蛙	用细腻的泡泡包住身体，保护皮肤。装得无忧无虑的，实则很精明地窥视着四周。	0.3	7.0
252	0	呱头蛙		ゲコガシラ	Frogadier	水	水	滋润	1111	111	173|139	潮湿	能感受水的|能感受海的|整洁的|用于观赏的|训练用的|辣辣的	泡蛙	指尖能紧贴垂直的墙壁，即使是高楼大厦，它也能轻松登顶。	0.6	10.9
253	0	甲贺忍蛙		ゲッコウガ	Greninja	水	恶	滋润|伐木	1111	111	173|139	潮湿	能感受水的|能感受海的|整洁的|闪亮亮的|训练用的|苦苦的	忍者	用大腿渗出的粘液所制成的手里剑能利落地切断钢丝。	1.5	40.0
254	0	咚咚鼠		デデンネ	Dedenne	电	妖精	找东西	1111	111	175	明亮	电力驱动的|可爱的|用于观赏的|大家一起用的|很像食物的|甜甜的	天线	用胡子来感知伙伴发出的电波。它们通过这种方式告诉彼此哪里有食物和电。	0.2	2.2
255	0	嗡蝠		オンバット	Noibat	飞行	龙	找东西	1111	111	160	昏暗	能感受风的|能感受火的|用于观赏的|豪华的|很像食物的|辣辣的	音波	到了太阳落山时，它便会离开居住的洞窟四处飞行，用超音波寻找熟透的果实。	0.5	8.0
256	0	音波龙		オンバーン	Noivern	飞行	龙	找东西|飞翔	1111	111	160	昏暗	能感受风的|能感受火的|用于观赏的|游乐区|很像食物的|涩涩的	音波	性格粗暴，但如果给它喜爱吃的成熟水果，就会一反常态，变得很亲切。	1.5	85.0
257	0	稚山雀		ココガラ	Rookidee	飞行	飞行	伐木	1111	111	142	明亮	能感受风的|闪亮亮的|容器|细长的|木制的|酸酸的	小鸟	性格勇敢，冒失莽撞。眼睛周围的白色花纹会让懦弱的宝可梦感到畏惧。	0.2	1.8
258	0	蓝鸦		アオガラス	Corvisquire	飞行	飞行	伐木	1111	111	140	明亮	能感受风的|闪亮亮的|容器|细长的|木制的|涩涩的	乌鸦	头脑聪明，凡是靠鸟嘴和爪子能够操控的工具，它都可以轻易地学会用法。	0.8	16.0
259	0	钢铠鸦		アーマーガア	Corviknight	飞行	钢	伐木|飞翔	1111	111	156|140	明亮	能感受风的|金属的|闪亮亮的|容器|木制的|苦苦的	乌鸦	羽毛的一部分变成了钢铁。即使翅膀沉重也能悠然地飞在空中。	2.2	75.0
260	0	多龙梅西亚		ドラメシヤ	Dreepy	龙	幽灵	分类|找东西	1111	111	138	潮湿	能感受火的|诡异的|交通工具|奇妙的|大家一起用的|辣辣的	哀怨	傍晚时会成群结队地快速环游在海上，戳水里的宝可梦玩。	0.5	2.0
261	0	多龙奇		ドロンチ	Drakloak	龙	幽灵	分类|找东西	1111	111	167|138	潮湿	能感受火的|诡异的|交通工具|奇妙的|大家一起用的|甜甜的	保姆	能以时速２００公里四处飞行。一旦输了对战，多龙梅西亚会二话不说地消失无踪。	1.4	11.0
262	0	多龙巴鲁托		ドラパルト	Dragapult	龙	幽灵	分类|交易	1111	111	167	潮湿	能感受火的|诡异的|交通工具|奇妙的|大家一起用的|辣辣的	隐形	磨炼意志，就能让全身变透明。就连角里的多龙梅西亚也变得看不到。	3.0	50.0
263	0	新叶喵		ニャオハ	Sprigatito	草	草	栽培	1111	111	138|155	明亮	能感受大自然的|百花盛开|容器|多彩的|可爱的|甜甜的	草猫	毛茸茸的体毛有着近似于植物的成分。会勤于洗脸以防止干燥。	0.4	4.1
264	0	蒂蕾喵		ニャローテ	Floragato	草	草	栽培	1111	111	155	明亮	能感受大自然的|百花盛开|尖尖的|多彩的|可爱的|酸酸的	草猫	体毛的硬度随心情而变。进入迎战状态时，体毛会变得如针一般尖锐。	0.9	12.2
265	0	魔幻假面喵		マスカーニャ	Meowscarada	草	恶	栽培|带动气氛	1111	111	172	明亮	能感受大自然的|百花盛开|闪亮亮的|豪华的|可爱的|涩涩的	魔术师	花看似浮在空中，其实它是通过斗篷内的毛的反射来隐藏住了茎。	1.5	31.2
266	0	电海燕		カイデン	Wattrel	电	飞行	发电	1111	111	140	明亮	电力驱动的|能感受风的|能感受海的|群聚的|看起来很难懂的|辣辣的	海燕	在海岸的悬崖上筑巢。它的巢具有在嘴里蹦跳的神奇口感，因此是受欢迎的珍味佳肴。	0.4	3.6
267	0	大电海燕		タイカイデン	Kilowattrel	电	飞行	发电|飞翔	1111	111	140	明亮	电力驱动的|能感受风的|能感受海的|群聚的|细长的|涩涩的	军舰鸟	会把翅膀制造的电储存到喉囊里。由于羽毛所含的油脂非常少，因此它不是很擅长游泳。	1.4	38.6
268	0	小锻匠		カヌチャン	Tinkatink	妖精	钢	建造	1111	111	154|028	明亮	可爱的|金属的|建设|很像食物的|训练用的|甜甜的	锤炼	挥动手工制造的锤子来保护自己，但却经常被会吃金属的宝可梦抢走锤子。	0.4	8.9
269	0	巧锻匠		ナカヌチャン	Tinkatuff	妖精	钢	建造	1111	111	156|028	明亮	可爱的|金属的|建设|大家一起用的|训练用的|酸酸的	锤子	栖息在堆满破铜烂铁的地方。为了测试锤子的强度，会和伙伴们激烈地敲打彼此。	0.7	59.1
270	0	巨锻匠	头头	デカヌチャン	Tinkaton	妖精	钢	工匠	1111	111	154	明亮	可爱的|金属的|建设|棱角分明的|训练用的|辣辣的	锤子	特别心灵手巧的巨锻匠。除了锤子，还能熟练使用其他工具。对人类造的建筑物和机器也非常感兴趣。	0.7	98.9
271	0	化石翼龙		プテラ	Aerodactyl	岩石	飞行	飞翔	1111	111	193	干燥	石制的|能感受风的|坚硬的|闪亮亮的|旋转的|酸酸的	化石	会以一副傲然的姿态翱翔在古代的广袤天空中。降落到地面后，它好像会变弱，走起路来也会变慢。	1.8	59.0
272	0	头盖龙		ズガイドス	Cranidos	岩石	岩石	碾压	1111	111	194	干燥	石制的|坚硬的|摇摇晃晃的|大家一起用的|训练用的|辣辣的	头锤	在发现头盖龙化石的地层里也一并出土了被锤断了的树木的化石。	0.9	31.5
273	0	战槌龙		ラムパルド	Rampardos	岩石	岩石	碾压|乱撒	1111	111	195	干燥	石制的|坚硬的|金属的|豪华的|训练用的|涩涩的	头锤	过去的人们曾在挖出化石后，用比钢铁还硬的头盖骨做成头盔。	1.6	102.5
274	0	盾甲龙		タテトプス	Shieldon	岩石	钢	碾压	1111	111	196	干燥	石制的|坚硬的|金属的|豪华的|圆圆的|甜甜的	护盾	虽然从太古时代的地层中发现了它的化石，但尚未发现除了脸以外的部分。	0.5	57.0
275	0	护城龙		トリデプス	Bastiodon	岩石	钢	碾压|乱撒	1111	111	197	干燥	石制的|坚硬的|金属的|豪华的|训练用的|苦苦的	护盾	与战槌龙生活在相似的地方。也曾发现过２只互相争斗一起倒下后变成的化石。	1.3	149.5
276	0	宝宝暴龙		チゴラス	Tyrunt	岩石	龙	碾压	1111	111	198	干燥	石制的|坚硬的|能感受火的|豪华的|训练用的|甜甜的	幼君	复活而来的古代宝可梦。性格既粗野又任性，能用大颚咬碎任何东西。	0.8	26.0
277	0	怪颚龙		ガチゴラス	Tyrantrum	岩石	龙	碾压|乱撒	1111	111	199	干燥	石制的|坚硬的|能感受火的|豪华的|训练用的|酸酸的	暴君	有说法，要完全复原是不可能的，实际上它全身都是羽毛一样的毛发。	2.5	270.0
278	0	冰雪龙		アマルス	Amaura	岩石	冰	碾压	1111	111	200	凉爽	石制的|坚硬的|闪亮亮的|大家一起用的|容器|涩涩的	冻原	从化石中成功复原。曾经在没什么天敌的寒冷地区群居。	1.3	25.2
279	0	冰雪巨龙		アマルルガ	Aurorus	岩石	冰	碾压|乱撒	1111	111	201	凉爽	石制的|坚硬的|闪亮亮的|会出声的|象征的|酸酸的	冻原	从化石复原而来。据说当冰雪巨龙吼叫时，夜空中就会出现极光。	2.7	225.0
280	0	伊布		イーブイ	Eevee	一般	一般	交易	1111	111	008	温暖	柔软的|石制的|可爱的|有文字的|大家一起用的|甜甜的	进化	为了能立刻适应环境的变化，这种宝可梦蕴含着多种进化的可能性。	0.3	6.5
281	0	水伊布		シャワーズ	Vaporeon	水	水	滋润	1111	111	202	潮湿	能感受水的|整洁的|可爱的|百花盛开|用于观赏的|甜甜的	吐泡	喜欢清澈见底的水边。因为细胞和水分子很相似，所以也能和水融为一体。	1.0	29.0
282	0	雷伊布		サンダース	Jolteon	电	电	发电	1111	111	203	明亮	电力驱动的|闪亮亮的|可爱的|有玻璃的|尖尖的|辣辣的	雷	稍微受点刺激就会大叫或生气，每当心情变化时都会蓄电。	0.8	24.5
283	0	火伊布		ブースター	Flareon	火	火	点火	1111	111	204	温暖	能感受火的|木制的|可爱的|金属的|交通工具|辣辣的	火	会将吸入的空气传送到自己体内的火囊里，制造成１７００度的火焰再吐出。	0.9	25.0
284	0	太阳伊布		エーフィ	Espeon	超能力	超能力	分类	1110	111	205	明亮	奇妙的|能感受风的|可爱的|看起来很难懂的|用于观赏的|甜甜的	太阳	能通过感受空气的流动，准确地预测出接下来的天气和对手的行动等等。	0.9	26.5
285	0	月亮伊布		ブラッキー	Umbreon	恶	恶	找东西	0001	111	206	昏暗	闪亮亮的|豪华的|可爱的|有文字的|用于观赏的|苦苦的	月光	在满月之夜或是兴奋的时候，它身上圈圈一样的花纹就会发出金黄色的光。	1.0	27.0
286	0	叶伊布		リーフィア	Leafeon	草	草	栽培	1111	111	207	明亮	能感受大自然的|百花盛开|可爱的|布制的|能治愈伤口的|酸酸的	新绿	在晴朗的日子里睡着的叶伊布会进行光合作用，制造出新鲜的空气。	1.0	25.5
287	0	冰伊布		グレイシア	Glaceon	冰	冰	交易	1111	111	208	凉爽	能感受水的|闪亮亮的|可爱的|有玻璃的|大家一起用的|甜甜的	新雪	自由地控制体温，让大气中的水分冻结，卷起冰晶。	0.8	25.9
288	0	仙子伊布		ニンフィア	Sylveon	妖精	妖精	带动气氛	1111	111	209	温暖	可爱的|能感受大自然的|布制的|会出声的|圆圆的|甜甜的	连结	会从蝴蝶结般的触角里释放能够消除敌意的波动，借此平息纷争。	1.0	23.5
289	0	盖欧卡		カイオーガ	Kyogre	水	水	不明	0000	000		潮湿	能感受水的|能感受海的|豪华的|闪亮亮的|有玻璃的|涩涩的	海底	据说能用下大雨的能力扩张海洋。一直沉睡在海沟的底部。	4.5	352.0
290	0	雷公		ライコウ	Raikou	电	电	发电	0000	000		明亮	电力驱动的|能感受风的|闪亮亮的|有玻璃的|豪华的|涩涩的	天雷	因为背着雨云，所以无论何时都能释放雷电。据说是和雷电一同降临的宝可梦。	1.9	178.0
291	0	炎帝		エンテイ	Entei	火	火	点火	0000	000		温暖	能感受火的|石制的|象征的|训练用的|豪华的|苦苦的	火山	据说如果炎帝吼叫的话，世界上的某处火山就会喷发。	2.1	198.0
292	0	水君		スイクン	Suicune	水	水	滋润	0000	000		潮湿	能感受水的|能感受海的|整洁的|用于观赏的|能治愈伤口的|酸酸的	极光	在全世界四处奔跑，让污水重回清澈。会随北风奔跑着离去。	2.0	187.0
293	0	波尔凯尼恩		ボルケニオン	Volcanion	火	水	点火	0000	000		温暖	能感受火的|能感受水的|石制的|容器|象征的|辣辣的	蒸汽	喷出水蒸气，用浓雾隐藏自己。据说住在人类不会进入的山里。	1.7	195.0
294	0	急冻鸟		フリーザー	Articuno	冰	飞行	飞翔	0000	000		凉爽	能感受水的|能感受风的|闪亮亮的|象征的|豪华的|酸酸的	冰冻	传说的鸟宝可梦。它能将冬日空中的空气中含有的水分冻结，降下雪花。	1.7	55.4
295	0	闪电鸟		サンダー	Zapdos	电	飞行	飞翔	0000	000		明亮	电力驱动的|能感受风的|有玻璃的|象征的|豪华的|辣辣的	电击	能够随心所欲地操纵雷电。据传说，它的巢穴处在漆黑的雷云中。	1.6	52.6
296	0	火焰鸟		ファイヤー	Moltres	火	飞行	飞翔	0000	000		温暖	能感受火的|能感受风的|石制的|象征的|豪华的|辣辣的	火焰	传说的鸟宝可梦。当它挥舞起剧烈燃烧着的双翅，哪怕是夜空也会被点亮。	2.0	60.0
297	0	洛奇亚		ルギア	Lugia	超能力	飞行	不明	0000	000		潮湿	奇妙的|能感受风的|能感受水的|能感受海的|象征的|涩涩的	潜水	沉睡在很深的海沟底部。据说洛奇亚挥动翅膀的话，就会引起长达４０天的暴风雨。	5.2	216.0
298	0	凤王		ホウオウ	Ho-Oh	火	飞行	不明	0000	000		温暖	能感受火的|木制的|能感受风的|能感受大自然的|象征的|辣辣的	虹色	记载于神话中的宝可梦。说其身体闪耀着七彩光芒，飞过的地方会形成彩虹。	3.8	199.0
299	0	超梦		ミュウツー	Mewtwo	超能力	超能力	瞬间移动	0000	000		昏暗	奇妙的|用于观赏的|有文字的|看起来很难懂的|石制的|涩涩的	基因	超梦的基因几乎和梦幻完全一样，但是大小和性格却迥异得让人吃惊。	2.0	122.0
300	0	梦幻		ミュウ	Mew	超能力	超能力	瞬间移动	0000	000		温暖	奇妙的|用于观赏的|豪华的|看起来很难懂的|游乐区|甜甜的	新种	许多人认为它是所有宝可梦的祖先。有着很高的智力，能够使用一切的招式。	0.4	4.0
10001	0	毽子草		ハネッコ	Hoppip	草	飞行	栽培	1111	111	10001	明亮	柔软的|能感受大自然的|能感受风的|百花盛开|摇摇晃晃的|甜甜的	棉草	由于会乘着风在各地移动，因此除了寒冷的地方，几乎随处可见它的身影。	0.4	0.5
10002	0	毽子花		ポポッコ	Skiploom	草	飞行	栽培	1111	111	10002|10001	明亮	柔软的|能感受大自然的|能感受风的|百花盛开|旋转的|涩涩的	棉草	一旦天气变冷就会关上花瓣。由此就无法进行光合作用了，所以会飞到温暖的地区去。	0.6	1.0
10003	0	毽子棉		ワタッコ	Jumpluff	草	飞行	栽培|乱撒	1111	111	10003|10001	明亮	柔软的|能感受大自然的|能感受风的|百花盛开|圆圆的|酸酸的	棉草	会随季风到处旅行。当毽子棉的棉孢子掉光的时候，就是它的旅行和生命终结之时。	0.8	3.0
